OBJECTID,States_NAME,AREA,TOTPOP_CY,ISO_CODE,ISO3_CC,OBJECTID,States,Off_person,Off_properties,Off_law_Auth,Share_of_Total,Off_local_act,Total_cases,totpop_cy,popdensity_cy,totals_popdens_cy_i,totals_popprm_cy,Shape__Area,Shape__Length
1,Abia,4875.128773,3817811,NGAB,NGA,2,Abia,230,113,21,0.289371174,0,364,3817975,783.2,358,19.2,4952105714,597257.6496
2,FCT,7422.269598,3911806,NGFC,NGA,1,FCT,2984,9350,843,10.4785754,4,13181,3911874,527,241,19.6,7653301092,404449.7111
3,Adamawa,37944.9826,4360685,NGAD,NGA,3,Adamawa,779,1417,56,1.795850227,7,2259,4360685,114.9,52,21.9,39225372285,1472263.155
4,Akwa Ibom,6745.570486,5656597,NGAK,NGA,4,Akwa Ibom,840,333,232,1.121710788,6,1411,5656700,838.6,383,28.4,6840739000,440070.2049
5,Anambra,4746.499628,5667914,NGAN,NGA,5,Anambra,898,1413,142,2.014468559,81,2534,5667914,1194.1,546,28.4,4834581428,428141.0385
6,Bauchi,48666.86787,6745302,NGBA,NGA,6,Bauchi,812,1713,118,2.112250576,14,2657,6745302,138.6,63,33.8,50761453342,1590707.626
7,Bayelsa,9610.681558,2338146,NGBY,NGA,7,Bayelsa,612,837,91,1.225057636,1,1541,2337844,243.3,111,11.7,9741987667,580976.5477
8,Benue,31270.48962,5899699,NGBE,NGA,8,Benue,463,497,0,0.865728595,129,1089,5899699,188.7,86,29.6,31997809087,1020185.519
9,Borno,72309.16354,6046625,NGBO,NGA,9,Borno,423,479,3,0.933301534,269,1174,6046625,83.6,38,30.3,76005328420,1703327.931
10,Cross River,21057.32462,3968419,NGAK,NGA,10,Cross River,1134,1154,100,1.92622625,35,2423,3967877,188.4,86,19.9,21422124935,936462.9887
11,Delta,17031.28503,5831307,NGDE,NGA,11,Delta,3911,2502,1202,6.254074251,252,7867,5831307,342.4,156,29.3,17315462977,894612.4814
12,Ebonyi,6363.058081,2953388,NGEB,NGA,12,Ebonyi,572,595,44,0.962715637,0,1211,2953851,464.2,212,14.8,6482119979,506738.6661
13,Edo,19528.43045,4338397,NGED,NGA,13,Edo,697,307,0,0.798155656,0,1004,4338397,222.2,102,21.8,19923155549,950147.4461
